Facility_Name,Ministry_Market,Ministry,Address_1,Address_2,City,State,Zip_Code,Phone_Number,County,Facility_Type,Business_Entity,Facility_Status
Ascension St. John Hospital Oncology at 23 Mile,Ascension Michigan,MIDET,17900 23 MILE ROAD,SUITE 402,MACOMB,MI,48044,877-427-6786,MACOMB,Outpatient Clinic,Ascension Enterprise,ACTIVE
Ascension St. John Hospital Rheumatology at 23 Mile,Ascension Michigan,MIDET,17900 23 MILE ROAD,SUITE 402,MACOMB,MI,48044,586-868-9045,NULL,Outpatient Clinic,Ascension Enterprise,ACTIVE
Providence Occupational Health - Saraland (APHS),Ascension Alabama,ALMOB,18 C.M. RAMBO DR,NULL,SARALAND,AL,36571,251-675-2029,MOBILE,Outpatient Clinic,Ascension Enterprise,ACTIVE
Providence Family Physicians - Saraland (APHS),Ascension Alabama,ALMOB,18 C.M. RAMBO DR,NULL,SARALAND,AL,36571,251-675-7433,MOBILE,Outpatient Clinic,Ascension Medical Group,ACTIVE
St. Vincent’s Primary Care - Snead,Ascension Alabama,ALBIR,180 MEDICAL ST,NULL,SNEAD,AL,35952,205-466-7114,ETOWAH,Outpatient Clinic,Ascension Medical Group,ACTIVE
Mid-State Neurosurgery Center for Spine and Cranial Surgery,Ascension Tennessee,TNNAS,1800 MEDICAL CENTER PARKWAY,SUITE 300,MURFREESBORO,TN,37129,615-849-8004,RUTHERFORD,Outpatient Clinic,Ascension Enterprise,ACTIVE
Saint Thomas Medical Partners - Middle Tennessee Center for Lung Disease,Ascension Tennessee,TNNAS,1800 MEDICAL CENTER PARKWAY,SUITE 310,MURFREESBORO,TN,37129,615-849-9868,NULL,Outpatient Clinic,Ascension Enterprise,ACTIVE
Saint Thomas Medical Partners - Murfreesboro - Sleep Medicine,Ascension Tennessee,TNNAS,1800 MEDICAL CENTER PARKWAY,SUITE 400,MURFREESBORO,TN,37129,615-538-6045,NULL,Outpatient Clinic,Ascension Enterprise,ACTIVE
Saint Thomas Medical Partners - DePaul,Ascension Tennessee,TNNAS,1800 MEDICAL CENTER PARKWAY,SUITE 400,MURFREESBORO,TN,37129,615-396-6800,RUTHERFORD,Outpatient Clinic,Ascension Medical Group,ACTIVE
Saint Thomas Medical Partners - Murfreesboro - Gynecologic Oncology,Ascension Tennessee,TNNAS,1800 MEDICAL CENTER PARKWAY,SUITE 410,MURFREESBORO,TN,37129,615-284-4646,RUTHERFORD,Outpatient Clinic,Ascension Medical Group,ACTIVE
Saint Thomas Medical Partners - DePaul - Neurology,Ascension Tennessee,TNNAS,1800 MEDICAL CENTER PARKWAY,SUITE 410,MURFREESBORO,TN,37129,615-396-6800,RUTHERFORD,Outpatient Clinic,Ascension Medical Group,ACTIVE
Saint Thomas Medical Partners - Murfreesboro - Neurology,Ascension Tennessee,TNNAS,1800 MEDICAL CENTER PARKWAY,SUITE 410,MURFREESBORO,TN,37129,615-396-6800,NULL,Outpatient Clinic,Ascension Medical Group,ACTIVE
Saint Thomas Medical Partners - Murfreesboro Surgical Specialists,Ascension Tennessee,TNNAS,1800 MEDICAL CENTER PARKWAY,SUITE 440,MURFREESBORO,TN,37129,615-867-1940,RUTHERFORD,Outpatient Clinic,Ascension Medical Group,ACTIVE
Saint Thomas Center for Sleep - Murfreesboro,Ascension Tennessee,TNNAS,1800 MEDICAL CENTER PARKWAY,SUITE 450,MURFREESBORO,TN,37129,615-284-7537,RUTHERFORD,Outpatient Clinic,Ascension Enterprise,ACTIVE
Saint Thomas Rutherford Hospital Bariatric Center,Ascension Tennessee,TNNAS,1800 MEDICAL CENTER PARKWAY,SUITE 450,MURFREESBORO,TN,37129,615-396-4282,NULL,Outpatient Clinic,Ascension Enterprise,ACTIVE
Saint Thomas Medical Partners - Murfreesboro - Breast Surgery,Ascension Tennessee,TNNAS,1800 MEDICAL CENTER PARKWAY,SUITE 450,MURFREESBORO,TN,37129,615-396-6800,RUTHERFORD,Outpatient Clinic,Ascension Medical Group,ACTIVE
Saint Thomas Sleep Clinic - Murfreesboro,Ascension Tennessee,TNNAS,1800 MEDICAL CENTER PARKWAY,SUITES 400 AND 450,MURFREESBORO,TN,37129,615-284-7537,NULL,Outpatient Clinic,Ascension Enterprise,ACTIVE
Saint Thomas Medical Partners - Murfreesboro - Urogynecology,Ascension Tennessee,TNNAS,1800 MEDICAL CENTER PARKWAY,NULL,MURFREESBORO,TN,37129,615-284-3060,RUTHERFORD,Outpatient Clinic,Ascension Medical Group,ACTIVE
Ascension Seton Highland Lakes Physical Therapy - Marble Falls,Ascension Texas,TXAUS,1800 MORMON MILL ROAD,SUITE B,MARBLE FALLS,TX,78654,830-636-8738,NULL,Outpatient Clinic,NULL,ACTIVE
Macomb Center Endoscopy Center,Ascension Michigan,MIDET,18000 EAST 12 MILE ROAD,NULL,ROSEVILLE,MI,48066,586-573-5582,NULL,Outpatient Clinic,NULL,ACTIVE
Ascension Medical Group - St. Vincent - Princeton OB/Gyn,Ascension Indiana,INEVA,1808 SHERMAN DRIVE,SUITE 2209,PRINCETON,IN,47670,812-753-5950,NULL,Outpatient Clinic,NULL,ACTIVE
Ascension Medical Group - St. Vincent - Princeton Urology,Ascension Indiana,INEVA,1808 SHERMAN DRIVE,NULL,PRINCETON,IN,47670,812-473-1111,NULL,Outpatient Clinic,NULL,ACTIVE
"Ascension Medical Group Basel Brikho, MD",NULL,MIDET,18211 WEST 12 MILE ROAD,SUITE 100,LATHRUP VILLAGE,MI,48076,248-557-4443,NULL,Outpatient Clinic,NULL,ACTIVE
Ascension Medical Group Non-invasive Cardiac Testing - King,Ascension Florida,FLJAC,1824 KING STREET,SUITE 225,JACKSONVILLE,FL,32204,904-483-3134,DUVAL,Outpatient Clinic,Ascension Medical Group,ACTIVE
"Ascension Medical Group Dudley Roberts III, MD, PC",Ascension Michigan,MIDET,18245 EAST 10 MILE ROAD,SUITE 120,ROSEVILLE,MI,48066,586-774-8710,NULL,Outpatient Clinic,NULL,ACTIVE
MSG - Podiatry - Stratford,Ascension Connecticut,CTBRI,1825 BARNUM AVE,NULL,STRATFORD,CT,6614,203-377-1777,FAIRFIELD,Outpatient Clinic,Ascension Medical Group,ACTIVE
Ascension St. John Hospital St. John Center for Wellness,Ascension Michigan,MIDET,18303 EAST 10 MILE ROAD,SUITE 500,ROSEVILLE,MI,48066,586-498-5160,NULL,Outpatient Clinic,Ascension Enterprise,ACTIVE
Providence Family Physicians - Robertsdale (APHS),Ascension Alabama,ALMOB,18317 US HWY. 90,NULL,ROBERTSDALE,AL,36560,NULL,MOBILE,Outpatient Clinic,Ascension Medical Group,RETIRED
Saint Thomas Health Breast Health Center - Rutherford,Ascension Tennessee,TNNAS,1840 MEDICAL CENTER PARKWAY,SUITE 101,MURFREESBORO,TN,37129,615-396-4100,RUTHERFORD,Outpatient Clinic,Ascension Enterprise,ACTIVE
Saint Thomas Heart - Rutherford,Ascension Tennessee,TNNAS,1840 MEDICAL CENTER PARKWAY,SUITE 201,MURFREESBORO,TN,37129,615-867-5028,RUTHERFORD,Outpatient Clinic,Ascension Medical Group,ACTIVE
Saint Thomas Heart - Rutherford - Comprehensive Heart Failure Program,Ascension Tennessee,TNNAS,1840 MEDICAL CENTER PARKWAY,SUITE 401,MURFREESBORO,TN,37129,615-396-5701,NULL,Outpatient Clinic,Ascension Medical Group,ACTIVE
Ascension Laboratory - Oshkosh Koeller,NULL,WIAPP,1855 S. KOELLER STREET,NULL,OSHKOSH,WI,53042,920-223-7000,WINNEBAGO,Outpatient Clinic,Ascension Enterprise,ACTIVE
Ascension Radiology - Oshkosh Koeller,NULL,WIAPP,1855 S. KOELLER STREET,NULL,OSHKOSH,WI,53042,920-223-7000,WINNEBAGO,Outpatient Clinic,Ascension Enterprise,ACTIVE
Ascension Medical Group at Koeller Street,NULL,WIAPP,1855 S. KOELLER STREET,NULL,OSHKOSH,WI,54902,920-223-2000,WINNEBAGO,Outpatient Clinic,Ascension Medical Group,ACTIVE
Ascension Dermatology-Oshkosh Koeller,NULL,WIAPP,1855 S. KOELLER STREET,NULL,OSHKOSH,WI,53042,920-223-7000,WINNEBAGO,Outpatient Clinic,Ascension Medical Group,ACTIVE
Ascension Anticoag - Oshkosh Koeller,Ascension Wisconsin,WIAPP,1855 S. KOELLER STREET,NULL,OSHKOSH,WI,53042,920-223-7000,WINNEBAGO,Outpatient Clinic,Ascension Medical Group,ACTIVE
Ascension Urgent Care - Oshkosh Koeller,Ascension Wisconsin,WIAPP,1855 S. KOELLER STREET,NULL,OSHKOSH,WI,54902,920-223-7000,WINNEBAGO,Outpatient Clinic,Ascension Medical Group,ACTIVE
Ascension Endocrine and Diabetes Education - Oshkosh Koeller,Ascension Wisconsin,WIAPP,1855 S. KOELLER STREET,NULL,OSHKOSH,WI,54902,920-223-7000,WINNEBAGO,Outpatient Clinic,Ascension Medical Group,ACTIVE
Ascension Opthalmology - Oshkosh,Ascension Wisconsin,WIAPP,1855 S. KOELLER STREET,NULL,OSHKOSH,WI,54902,920-223-7000,WINNEBAGO,Outpatient Clinic,Ascension Medical Group,ACTIVE
Ascension Optometry - Oshkosh Koeller,Ascension Wisconsin,WIAPP,1855 S. KOELLER STREET,NULL,OSHKOSH,WI,54902,920-223-7000,WINNEBAGO,Outpatient Clinic,Ascension Medical Group,ACTIVE
Ascension Podiatry - Oshkosh Koeller,Ascension Wisconsin,WIAPP,1855 S. KOELLER STREET,NULL,OSHKOSH,WI,54902,920-223-7000,WINNEBAGO,Outpatient Clinic,Ascension Medical Group,ACTIVE
Ascension Rheumatology - Oshkosh Koeller,Ascension Wisconsin,WIAPP,1855 S. KOELLER STREET,NULL,OSHKOSH,WI,54902,920-223-7000,WINNEBAGO,Outpatient Clinic,Ascension Medical Group,ACTIVE
Ascension Audiology - Oshkosh Koeller,Ascension Wisconsin,WIAPP,1855 S. KOELLER STREET,NULL,OSHKOSH,WI,54902,920-223-7000,WINNEBAGO,Outpatient Clinic,Ascension Medical Group,ACTIVE
Ascension Behavioral Health - Oshkosh Koeller IM,Ascension Wisconsin,WIAPP,1855 S. KOELLER STREET,NULL,OSHKOSH,WI,54902,920-223-7000,WINNEBAGO,Outpatient Clinic,Ascension Medical Group,ACTIVE
Ascension Family Medicine - Oshkosh Koeller,Ascension Wisconsin,WIAPP,1855 S. KOELLER STREET,NULL,OSHKOSH,WI,54902,920-223-7000,WINNEBAGO,Outpatient Clinic,Ascension Medical Group,ACTIVE
Ascension Internal Medicine - Oshkosh Koeller,Ascension Wisconsin,WIAPP,1855 S. KOELLER STREET,NULL,OSHKOSH,WI,54902,920-223-7000,WINNEBAGO,Outpatient Clinic,Ascension Medical Group,ACTIVE
Ascension Employer Solutions - Oshkosh,Ascension Wisconsin,WIAPP,1855 S. KOELLER STREET,NULL,OSHKOSH,WI,54902,920-223-7075,WINNEBAGO,Outpatient Clinic,Ascension Medical Group,ACTIVE
Ascension Sports Medicine - Oshkosh Koeller,NULL,WIAPP,1855 S. KOELLER STREET,NULL,OSHKOSH,WI,53042,920-223-7000,WINNEGAGO,Outpatient Clinic,Ascension Medical Group,ACTIVE
Ascension Medical Group - St. Vincent - Kokomo Southway Med One Immediate Care,Ascension Indiana,ININD,186 EAST SOUTHWAY BOULEVARD,NULL,KOKOMO,IN,46902,765-236-8299,NULL,Outpatient Clinic,NULL,ACTIVE
Ascension Medical Group - St. Vincent - Kokomo Southway Walk-in Care and Occupational Medicine,Ascension Indiana,ININD,186 EAST SOUTHWAY BOULEVARD,NULL,KOKOMO,IN,46902,765-236-8299,NULL,Outpatient Clinic,NULL,ACTIVE
Saint Thomas Heart - Winchester,Ascension Tennessee,TNNAS,186 HOSPITAL ROAD,SUITE 100,WINCHESTER,TN,37398,800-345-5016,FRANKLIN,Outpatient Clinic,Ascension Medical Group,ACTIVE
St. Vincent's Primary Care - Hoover,Ascension Alabama,ALBIR,1870 CHACE DR,STE 160,BIRMINGHAM,AL,35244,205-733-7110,JEFFERSON,Outpatient Clinic,Ascension Medical Group,ACTIVE
St. Vincent's Family Care-Hoover,Ascension Alabama,ALBIR,1870 CHACE DR,STE 160,HOOVER,AL,35244,205-733-7110,JEFFERSON,Outpatient Clinic,Ascension Medical Group,ACTIVE
St. Vincent's Primary Care - Hoover,Ascension Alabama,ALBIR,1870 CHACE DR.,SUITE 160,HOOVER,AL,35244,205-733-7110,JEFFERSON,Outpatient Clinic,Ascension Medical Group,ACTIVE
Ascension Medical Group - St. Vincent - Kokomo Southway,Ascension Indiana,ININD,188 EAST SOUTHWAY BOULEVARD,NULL,KOKOMO,IN,46902,765-453-9000,NULL,Outpatient Clinic,NULL,ACTIVE
"Ascension Medical Group Rosemary M. Aquiler-Angeles, MD, PC",Ascension Michigan,MIDET,18829 FARMINGTON ROAD,NULL,LIVONIA,MI,48152,248-426-0110,WAYNE,Outpatient Clinic,Ascension Enterprise,ACTIVE
Ascension Medical Group - St. Vincent - Linton Heart Care,Ascension Indiana,ININD,1885 NORTH 1000 WEST,NULL,LINTON,IN,47441,812-847-5228,NULL,Outpatient Clinic,NULL,ACTIVE
Ascension Medical Group St. Vincent's Sleep Program - Orange Park,Ascension Florida,FLJAC,1893 KINGSLEY AVENUE,SUITE D,ORANGE PARK,FL,32073,904-276-2044,RILEY,Outpatient Clinic,Ascension Medical Group,ACTIVE
Ascension Radiology - Waupaca,NULL,WIAPP,190 GRAND SEASONS DR,NULL,WAUPACA,WI,54981,715-258-3650,WAUPACA,Outpatient Clinic,Ascension Enterprise,ACTIVE
Ascension Laboratory - Waupaca,NULL,WIAPP,190 GRAND SEASONS DR,NULL,WAUPACA,WI,54981,715-258-3650,WAUPACA,Outpatient Clinic,Ascension Enterprise,ACTIVE
Ascension Behavioral Health at Waupaca FM,NULL,WIAPP,190 GRAND SEASONS DR,NULL,WAUPACA,WI,54981,715-258-3650,WAUPACA,Outpatient Clinic,Ascension Medical Group,ACTIVE
Ascension Medical Group at Waupaca,Ascension Wisconsin,WIAPP,190 GRAND SEASONS DR,NULL,WAUPACA,WI,54981,715-258-3650,WAUPACA,Outpatient Clinic,Ascension Medical Group,ACTIVE
Ascension Anticoag - Waupaca,Ascension Wisconsin,WIAPP,190 GRAND SEASONS DR,NULL,WAUPACA,WI,54981,715-258-3650,WAUPACA,Outpatient Clinic,Ascension Medical Group,ACTIVE
Ascension Family Medicine - Waupaca,Ascension Wisconsin,WIAPP,190 GRAND SEASONS DR,NULL,WAUPACA,WI,54981,715-258-3650,WAUPACA,Outpatient Clinic,Ascension Medical Group,ACTIVE
Ascension Internal Medicine - Waupaca,Ascension Wisconsin,WIAPP,190 GRAND SEASONS DR,NULL,WAUPACA,WI,54981,715-258-3650,WAUPACA,Outpatient Clinic,Ascension Medical Group,ACTIVE
Ascension Columbia St. Mary's Milwaukee at Shorewood,NULL,WIMIL,1901 E. CAPITOL DR,NULL,SHOREWOOD,WI,53211,414-962-7477,MILWAUKEE,Outpatient Clinic,Ascension Medical Group,ACTIVE
Ascension Columbia St. Mary's Milwaukee at Shorewood - Family Medicine,NULL,WIMIL,1901 E. CAPITOL DR,NULL,SHOREWOOD,WI,53211,414-962-7477,MILWAUKEE,Outpatient Clinic,Ascension Medical Group,ACTIVE
"Ascension Medical Group Douglas E. Pugmire, DO",Ascension Michigan,MIROC,1901 STAR-BATT DRIVE,SUITE 200,ROCHESTER HILLS,MI,48309,248-844-4042,OAKLAND,Outpatient Clinic,Ascension Enterprise,ACTIVE
Ascension St. John Hospital Cancer Center Rochester,Ascension Michigan,MIROC,1901 STAR-BATT DRIVE,NULL,ROCHESTER HILLS,MI,48309,248-844-4000,OAKLAND,Outpatient Clinic,Ascension Enterprise,ACTIVE
Ascension St. John Hospital Cancer Center at Star Batt Genetic Testing and Counseling,Ascension Michigan,MIROC,1901 STAR-BATT DRIVE,NULL,ROCHESTER HILLS,MI,48309,313-647-3153,NULL,Outpatient Clinic,Ascension Enterprise,ACTIVE
Ascension St. John Radiation Oncology Institute,Ascension Michigan,MIROC,1901 STAR-BATT DRIVE,NULL,ROCHESTER HILLS,MI,48309,248-844-4017,OAKLAND,Outpatient Clinic,Ascension Medical Group,ACTIVE
Ascension Medical Group at Westwood,NULL,WIAPP,1901 WESTWOOD CENTER BLVD,NULL,WAUSAU,WI,54401,715-355-9775,MARATHON,Outpatient Clinic,Ascension Medical Group,ACTIVE
Ascension Dermatology - Westwood,NULL,WIAPP,1901 WESTWOOD CENTER BLVD,NULL,WAUSAU,WI,54401,715-355-9775,MARATHON,Outpatient Clinic,Ascension Medical Group,ACTIVE
Ascension Family Medicine - Westwood,NULL,WIAPP,1901 WESTWOOD CENTER BLVD,NULL,WAUSAU,WI,54401,715-355-9775,MARATHON,Outpatient Clinic,Ascension Medical Group,ACTIVE
Ascension Therapy - Westwood,NULL,WIAPP,1901 WESTWOOD CENTER BLVD,NULL,WAUSAU,WI,54401,715-355-9775,MARATHON,Outpatient Clinic,Ascension Medical Group,ACTIVE
Ascension Employer Solutions - Wausau,Ascension Wisconsin,WIAPP,1901 WESTWOOD CTR BLVD,NULL,WAUSAU,WI,54401,715-355-9401,MARATHON,Outpatient Clinic,Ascension Medical Group,ACTIVE
Ascension Medical Group - Temple - Internal Medicine,Ascension Texas,TXAUS,1905 SOUTHWEST HK DODGEN LOOP,NULL,TEMPLE,TX,76502,254-298-2465,NULL,Outpatient Clinic,NULL,ACTIVE
Ascension Medical Group - Temple - Family Medicine,Ascension Texas,TXAUS,1905 SOUTHWEST HK DODGEN LOOP,NULL,TEMPLE,TX,76502,254-298-2480,NULL,Outpatient Clinic,NULL,ACTIVE
Ascension Medical Group - St. Vincent - Kokomo Primary and Specialty Care,Ascension Indiana,ININD,1907 WEST SYCAMORE STREET,SUITE 3,KOKOMO,IN,46901,765-236-8363,NULL,Outpatient Clinic,NULL,ACTIVE
Ascension St. Vincent Medication Management Kokomo,Ascension Indiana,ININD,1907 WEST SYCAMORE STREET,NULL,KOKOMO,IN,46901,765-456-5599,NULL,Outpatient Clinic,NULL,ACTIVE
"PFP Citronelle, Dr. Jimenez & Dr. VanDerwood",Ascension Alabama,ALMOB,19140 S 3RD ST,NULL,CITRONELLE,AL,36522,251-866-0086,MOBILE,Outpatient Clinic,Ascension Medical Group,ACTIVE
Ascension Medical Group Michigan Breast Specialists,Ascension Michigan,MIDET,19229 MACK AVENU,SUITE 38,GROSSE POINTE WOODS,MI,48236,313-647-3900,NULL,Outpatient Clinic,NULL,ACTIVE
Van Elslander Cancer Center - Genetic Testing and Counseling,Ascension Michigan,MIDET,19229 MACK AVENUE,SUITE 18,GROSSE POINTE WOODS,MI,48236,313-647-3153,NULL,Outpatient Clinic,NULL,ACTIVE
JFW Gastric Cancer Program,Ascension Michigan,MIDET,19229 MACK AVENUE,SUITE 23,GROSSE POINTE WOODS,MI,48236,313-647-3252,NULL,Outpatient Clinic,NULL,ACTIVE
Ascension St. John Hospital Great Lakes Cancer Management Specialists,Ascension Michigan,MIDET,19229 MACK AVENUE,SUITE 24,GROSSE POINTE WOODS,MI,48236,313-884-5522,WAYNE,Outpatient Clinic,Ascension Enterprise,ACTIVE
Ascension St. John Hospital Meade Pediatric Hematology Oncology Center,Ascension Michigan,MIDET,19229 MACK AVENUE,SUITE 28,GROSSE POINTE WOODS,MI,48236,313-647-3200,WAYNE,Outpatient Clinic,Ascension Enterprise,ACTIVE
Liggett Breast Center-Mammography,Ascension Michigan,MIDET,19229 MACK AVENUE,SUITE 31,GROSSE POINTE WOODS,MI,48236,313-647-3328,NULL,Outpatient Clinic,NULL,ACTIVE
Ascension St. John Hospital Academic Hematology Oncology Specialists,Ascension Michigan,MIDET,19229 MACK AVENUE,SUITE 34,GROSSE POINTE WOODS,MI,48236,313-647-3245,NULL,Outpatient Clinic,Ascension Enterprise,ACTIVE
Ascension Medical Group Surgical Oncology and Colorectal Specialists,Ascension Michigan,MIDET,19229 MACK AVENUE,SUITE 38,GROSSE POINTE WOODS,MI,48236,313-647-3252,NULL,Outpatient Clinic,NULL,ACTIVE
Ascension St. John Hospital Gynecology/Oncology,Ascension Michigan,MIDET,19229 MACK AVENUE,SUITE 39,GROSSE POINTE WOODS,MI,48236,313-647-3243,WAYNE,Outpatient Clinic,Ascension Enterprise,ACTIVE
Ascension St John Hospital Cancer Center Genetics,Ascension Michigan,MIDET,19229 MACK AVENUE,NULL,GROSSE POINTE WOODS,MI,48236,313-647-3153,NULL,Outpatient Clinic,Ascension Enterprise,ACTIVE
Van Elslander Cancer Center,Ascension Michigan,MIDET,19229 MACK AVENUE,NULL,GROSSE POINTE WOODS,MI,48236,313-647-3000,NULL,Outpatient Clinic,NULL,ACTIVE
Ascension St. John Hospital St. John Internal Medicine,Ascension Michigan,MIDET,19251 MACK AVENUE,SUITE 333,GROSSE POINTE WOODS,MI,48236,313-343-7280,NULL,Outpatient Clinic,Ascension Enterprise,ACTIVE
Ascension Michigan at Work - Grosse Pointe Woods,Ascension Michigan,MIDET,19251 MACK AVENUE,NULL,GROSSE POINTE WOODS,MI,48236,313-343-3740,NULL,Outpatient Clinic,NULL,ACTIVE
Ascension St. Vincent Anderson,Ascension Indiana,ININD,1931 BROWN STREET,SUITE 6,ANDERSON,IN,46016,765-646-8247,NULL,Outpatient Clinic,NULL,ACTIVE
Ascension Medical Group - St. Vincent - Ophthalmology,Ascension Indiana,ININD,1931 BROWN STREET,NULL,ANDERSON,IN,46016,765-644-1225,NULL,Outpatient Clinic,NULL,ACTIVE
Ascension Medical Group New Horizons Medical Center,Ascension Michigan,MIDET,19335 MERRIMAN ROAD,NULL,LIVONIA,MI,48152,248-474-4900,NULL,Outpatient Clinic,NULL,ACTIVE
Ascension Medical Group Cornerstone Roseville Family Practice,Ascension Michigan,MIDET,19357 13 MILE ROAD,NULL,ROSEVILLE,MI,48066,586-294-0330,NULL,Outpatient Clinic,NULL,ACTIVE
Ascension St. Vincent - Connersville Heart Care,Ascension Indiana,ININD,1941 VIRGINIA AVENUE,NULL,CONNERSVILLE,IN,47331,765-827-8071,NULL,Outpatient Clinic,NULL,ACTIVE
AMG at Elmbrook MOB,NULL,WIGLE,19475 W NORTH AVE,SUITE #400,BROOKFIELD,WI,53045,262-780-4000,WAUKESHA,Outpatient Clinic,Ascension Medical Group,ACTIVE
"Ascension Medical Group at Elmbrook MOB, Cardiothoracic Surgery",Ascension Wisconsin,WIGLE,19475 W NORTH AVE,SUITE 400,BROOKFIELD,WI,53045,262-780-4000,WAUKESHA,Outpatient Clinic,Ascension Medical Group,ACTIVE
"Ascension Medical Group at Elmbrook MOB, Electrophysiology",Ascension Wisconsin,WIGLE,19475 W NORTH AVE,SUITE 400,BROOKFIELD,WI,53045,262-780-4000,WAUKESHA,Outpatient Clinic,Ascension Medical Group,ACTIVE
"Ascension Medical Group at Elmbrook MOB, Endocrinology",Ascension Wisconsin,WIGLE,19475 W NORTH AVE,SUITE 400,BROOKFIELD,WI,53045,262-780-4000,WAUKESHA,Outpatient Clinic,Ascension Medical Group,ACTIVE
"Ascension Medical Group at Elmbrook MOB, Pulmonary Medicine",Ascension Wisconsin,WIGLE,19475 W NORTH AVE,SUITE 400,BROOKFIELD,WI,53045,262-780-4000,WAUKESHA,Outpatient Clinic,Ascension Medical Group,ACTIVE
"Ascension Medical Group at Elmbrook MOB, OB/GYN",Ascension Wisconsin,WIGLE,19475 W NORTH AVE,SUITE 400,BROOKFIELD,WI,53045,262-780-4000,WAUKESHA,Outpatient Clinic,Ascension Medical Group,ACTIVE
"Ascension Medical Group at Elmbrook MOB, Cardiology",Ascension Wisconsin,WIGLE,19475 W NORTH AVE,SUITE 400,BROOKFIELD,WI,53045,262-780-4000,WAUKESHA,Outpatient Clinic,Ascension Medical Group,ACTIVE
MSG - The Cardiology Group - Hamden,Ascension Connecticut,CTBRI,1952 WHITNEY AVENUE,NULL,HAMDEN,CT,6517,203-773-3055,NEW HAVEN,Outpatient Clinic,Ascension Medical Group,ACTIVE
Milford Medicine,Ascension Connecticut,CTBRI,199 CHERRY ST,NULL,MILFORD,CT,6460,203-874-0248,NEW HAVEN,Outpatient Clinic,Ascension Medical Group,ACTIVE
"MSG - Shelton Medicine - Shelton, CT",Ascension Connecticut,CTBRI,2 TRAP FALLS ROAD,NULL,SHELTON,CT,6484,203-337-3417,FAIRFIELD,Outpatient Clinic,Ascension Medical Group,ACTIVE
Nephrology-Madisonville,Ascension Indiana,INEVA,200 CLINIC DR,NULL,MADISONVILLE,KY,42431,270 825-6680,HOPKINS,Outpatient Clinic,NULL,ACTIVE
Ascension St. Joseph Hospital Seton Cancer Institute - Tawas,NULL,MITAW,200 HEMLOCK ROAD,NULL,TAWAS CITY,MI,48763,989-362-9433,IOSCO,Outpatient Clinic,Ascension Enterprise,ACTIVE
Ascension St. Joseph Hospital Sleep Medicine,Ascension Michigan,MITAW,200 HEMLOCK ROAD,NULL,TAWAS CITY,MI,48763,989-362-0155,IOSCO,Outpatient Clinic,Ascension Enterprise,ACTIVE
Seton Heart Institute - Burnet,Ascension Texas,TXAUS,200 JOHN W. HOOVER PARKWAY,SUITE A,BURNET,TX,78611,512-715-3032,NULL,Outpatient Clinic,NULL,ACTIVE
Ascension Seton Cardiac and Pulmonology - Burnet,Ascension Texas,TXAUS,200 JOHN W. HOOVER PARKWAY,NULL,BURNET,TX,78611,512-715-3130,NULL,Outpatient Clinic,NULL,ACTIVE
Ascension Radiology - Little Chute,NULL,WIAPP,200 PATRIOT DRIVE,NULL,LITTLE CHUTE,WI,54140,920-687-2800,WAUPACA,Outpatient Clinic,Ascension Enterprise,ACTIVE
Ascension Laboratory - Little Chute,NULL,WIAPP,200 PATRIOT DRIVE,NULL,LITTLE CHUTE,WI,54140,920-687-2800,WAUPACA,Outpatient Clinic,Ascension Enterprise,ACTIVE
Ascension Little Chute Clinic,Ascension Wisconsin,WIAPP,200 PATRIOT DRIVE,NULL,LITTLE CHUTE,WI,54140,920-687-2800,WAUPACA,Outpatient Clinic,Ascension Medical Group,ACTIVE
Ascension Anticoag - Little Chute,Ascension Wisconsin,WIAPP,200 PATRIOT DRIVE,NULL,LITTLE CHUTE,WI,54140,920-687-2800,WAUPACA,Outpatient Clinic,Ascension Medical Group,ACTIVE
Ascension Family Medicine - Little Chute,Ascension Wisconsin,WIAPP,200 PATRIOT DRIVE,NULL,LITTLE CHUTE,WI,54140,920-687-2800,WAUPACA,Outpatient Clinic,Ascension Medical Group,ACTIVE
Ascension Seton Elgin Health Center,Ascension Texas,TXAUS,200 ROY RIVERS ROAD,NULL,ELGIN,TX,78621,737-200-6400,NULL,Outpatient Clinic,NULL,ACTIVE
Saint Thomas Midtown Hospital - Childbirth Center,Ascension Tennessee,TNNAS,2000 CHURCH STREET,NULL,NASHVILLE,TN,37203,615-284-2229,NULL,Outpatient Clinic,Ascension Enterprise,ACTIVE
Saint Thomas Joint Replacement Institute,Ascension Tennessee,TNNAS,2000 CHURCH STREET,NULL,NASHVILLE,TN,37236,615-284-7662,NULL,Outpatient Clinic,Ascension Enterprise,ACTIVE
Craig Center for Advanced Wound Healing,Ascension Tennessee,TNNAS,2000 MURPHY AVENUE,NULL,NASHVILLE,TN,37203,615-284-4700,DAVIDSON,Outpatient Clinic,Ascension Enterprise,ACTIVE
MSG - Pediatric Practice - Dr. Chung,Ascension Connecticut,CTBRI,"2000 POST ROAD, SUITE 305",NULL,FAIRFIELD,CT,6824,203-254-3242,FAIRFIELD,Outpatient Clinic,Ascension Medical Group,ACTIVE
Saint Thomas Sleep Clinic - Cool Springs,Ascension Tennessee,TNNAS,2001 MALLORY LANE,SUITE 202,FRANKLIN,TN,37067,615-284-7537,NULL,Outpatient Clinic,Ascension Enterprise,ACTIVE
